idStar Pred CC EA EC LPV MIRA NOVA RCorB RRab typeIICep Sum per flag
1-42246 CC 1 0 0 0 0 0 0 0 0 1 1.00839627588739 NonS
1-42267 RRab 0 0 0 0 0 0 0 1 0 1 0.0627180122591576 NonS
1-42440 CC 1 0 0 0 0 0 0 0 0 1 1.00103571912909 NonS
1-42514 EC 0 0 1 0 0 0 0 0 0 1 1.10264114999426 NonS
1-43061 CC 1 0 0 0 0 0 0 0 0 1 2.62293238973988 NonS
1-43357 CC 1 0 0 0 0 0 0 0 0 1 1.268607162881 NonS
1-43839 EC 0 0 1 0 0 0 0 0 0 1 1.18599860880361 Sig
1-44061 CC 1 0 0 0 0 0 0 0 0 1 1.25965611811404 NonS
1-44079 RRab 0 0 0 0 0 0 0 1 0 1 0.0373334858304735 NonS
1-44108 RRab 0 0 0 0 0 0 0 1 0 1 0.927884612658271 NonS
1-44324 EC 0 0 1 0 0 0 0 0 0 1 13.0053237625151 NonS
1-44376 RRab 0 0 0 0 0 0 0 1 0 1 0.0200307401962358 NonS
1-44496 CC 1 0 0 0 0 0 0 0 0 1 1.06025751972023 NonS
1-44644 RRab 0 0 0 0 0 0 0 1 0 1 0.0977192946956105 NonS
1-44762 RRab 0 0 0 0 0 0 0 1 0 1 0.307068660203129 Sig
1-44894 CC 1 0 0 0 0 0 0 0 0 1 1.00347669296872 NonS
1-45263 CC 1 0 0 0 0 0 0 0 0 1 2.18200432015531 NonS
1-45334 EC 0 0 1 0 0 0 0 0 0 1 2.04350040389155 NonS
1-45408 RRab 0 0 0 0 0 0 0 1 0 1 0.0763730622115531 NonS
1-45639 EC 0 0 1 0 0 0 0 0 0 1 1.23587406427928 NonS
1-46048 EC 0 0 1 0 0 0 0 0 0 1 2.17932634425606 NonS
1-46181 EC 0 0 1 0 0 0 0 0 0 1 1.16858582427851 NonS
1-46517 CC 1 0 0 0 0 0 0 0 0 1 1.65545366990339 NonS
1-46666 CC 1 0 0 0 0 0 0 0 0 1 9.94811662844348 NonS
1-46815 EA 0 1 0 0 0 0 0 0 0 1 2.03082098049615 NonS
1-47278 CC 1 0 0 0 0 0 0 0 0 1 3.71370698121778 NonS
1-47361 CC 1 0 0 0 0 0 0 0 0 1 1.26815489385046 NonS
1-47378 RRab 0 0 0 0 0 0 0 1 0 1 0.0221036172972335 NonS
1-47994 EC 0 0 1 0 0 0 0 0 0 1 9.21973656403653 NonS
1-48216 EC 0 0 1 0 0 0 0 0 0 1 3.51936180670212 NonS
1-48234 CC 1 0 0 0 0 0 0 0 0 1 10.2816957494229 NonS
1-49339 RRab 0 0 0 0 0 0 0 1 0 1 0.0340592228285247 NonS
1-49526 CC 1 0 0 0 0 0 0 0 0 1 1.93157596508007 NonS
1-49666 CC 1 0 0 0 0 0 0 0 0 1 1.38296048460548 NonS
1-49682 CC 1 0 0 0 0 0 0 0 0 1 1.12797466291774 NonS
1-49727 RRab 0 0 0 0 0 0 0 1 0 1 0.0239962319313302 NonS
1-49765 CC 1 0 0 0 0 0 0 0 0 1 6.33658913956961 NonS
1-50201 EC 0 0 1 0 0 0 0 0 0 1 1.22332244205695 NonS
1-50503 CC 1 0 0 0 0 0 0 0 0 1 1.00040952019347 Sig
1-50719 RRab 0 0 0 0 0 0 0 1 0 1 0.0282521300974057 NonS
1-50779 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-50812 RRab 0 0 0 0 0 0 0 1 0 1 0.0906398914492653 NonS
1-50897 CC 1 0 0 0 0 0 0 0 0 1 1.26289639108668 Sig
1-51332 RRab 0 0 0 0 0 0 0 1 0 1 0.053225387254439 NonS
1-51813 EC 0 0 1 0 0 0 0 0 0 1 1.00091941291528 NonS
1-51871 CC 1 0 0 0 0 0 0 0 0 1 12.2737743008736 NonS
1-52081 EC 0 0 1 0 0 0 0 0 0 1 1.04457653624456 NonS
1-52439 RRab 0 0 0 0 0 0 0 1 0 1 0.131840040464849 NonS
1-52469 CC 1 0 0 0 0 0 0 0 0 1 1.10886724344426 NonS
1-52557 RRab 0 0 0 0 0 0 0 1 0 1 0.107634628842336 NonS
1-52732 CC 1 0 0 0 0 0 0 0 0 1 1.25884864624345 NonS
1-52759 EC 0 0 1 0 0 0 0 0 0 1 1.28521196867787 NonS
1-53415 RRab 0 0 0 0 0 0 0 1 0 1 0.310075340647544 NonS
1-53435 EC 0 0 1 0 0 0 0 0 0 1 1.02709408375512 NonS
1-53613 CC 1 0 0 0 0 0 0 0 0 1 1.03195159650015 NonS
1-53866 CC 1 0 0 0 0 0 0 0 0 1 1.48099840734523 NonS
1-53868 CC 1 0 0 0 0 0 0 0 0 1 147.691269945353 NonS
1-53947 CC 1 0 0 0 0 0 0 0 0 1 1.04513245776465 NonS
1-54030 CC 1 0 0 0 0 0 0 0 0 1 1.00091941291528 NonS
1-54099 EC 0 0 1 0 0 0 0 0 0 1 1.44716572449505 Sig
1-54125 EC 0 0 1 0 0 0 0 0 0 1 1.00553194477203 NonS
